ada,ada
adabag,AdaBag
adabag,AdaBoost.M1
nnet,avNNet
nnet,multinom
nnet,nnet
nnet,pcaNNet
bnclassify,awnb
bnclassify,awtan
bnclassify,manb
bnclassify,nb
bnclassify,nbDiscrete
bnclassify,nbSearch
bnclassify,tan
bnclassify,tanSearch
caret,bag
earth,bagEarth
earth,bagEarthGCV
earth,bagFDA
earth,bagFDAGCV
earth,earth
earth,fda
earth,gcvEarth
mgcv,bam
mgcv,gam
bartMachine,bartMachine
arm,bayesglm
arm,glm
binda,binda
party,blackboost
party,cforest
party,ctree
party,ctree2
bst,BstLm
bst,bstSm
bst,bstTree
C50,C5.0
C50,C5.0Cost
C50,C5.0Rules
C50,C5.0Tree
rrcov,CSimca
rrcov,Linda
rrcov,QdaCov
sparsediscrim,dda
sparsediscrim,hdrda
sparsediscrim,rda
sparsediscrim,rlda
deepnet,dnn
kerndwd,dwdLinear
kerndwd,dwdPoly
kernlab,dwdRadial
kernlab,gaussprLinear
kernlab,gaussprPoly
kernlab,gaussprRadial
kernlab,lssvmLinear
kernlab,lssvmPoly
kernlab,lssvmRadial
kernlab,svmBoundrangeString
kernlab,svmExpoString
kernlab,svmLinear
kernlab,svmPoly
kernlab,svmRadial
kernlab,svmRadialCost
kernlab,svmRadialSigma
kernlab,svmRadialWeights
kernlab,svmSpectrumString
evtree,evtree
frbs,FH.GBML
frbs,FRBCS.CHI
frbs,FRBCS.W
frbs,SLAVE
mboost,gamboost
gam,gamLoess
gam,gamSpline
h2o,gbm
h2o,gbm_h2o
h2o,glmnet
h2o,glmnet_h2o
plyr,glmboost
MASS,glmStepAIC
MASS,lda
MASS,lda2
MASS,polr
MASS,qda
hda,hda
HDclassif,hdda
RWeka,J48
RWeka,JRip
RWeka,LMT
RWeka,OneR
RWeka,PART
pls,kernelpls
pls,simpls
pls,widekernelpls
kknn,kknn
kknn,knn
klaR,loclda
klaR,stepLDA
klaR,stepQDA
caTools,LogitBoost
LogicReg,logreg
class,lvq
HiDimDA,Mlda
HiDimDA,RFlda
RSNNS,mlp
RSNNS,mlpML
RSNNS,mlpWeightDecay
RSNNS,mlpWeightDecayML
RSNNS,rbf
RSNNS,rbfDDA
keras,mlpKerasDecay
keras,mlpKerasDecayCost
keras,mlpKerasDropout
keras,mlpKerasDropoutCost
monmlp,monmlp
msaenet,msaenet
naivebayes,naive_bayes
ordinalNet,ordinalNet
e1071,ordinalRF
e1071,parRF
e1071,ranger
e1071,svmLinear2
e1071,svmLinearWeights
snn,ownn
snn,snn
pamr,pam
partDSA,partDSA
mda,pda
mda,pda2
penalizedLDA,PenalizedLDA
stepPlr,plr
plsRglm,plsRglm
supervisedPRIM,PRIM
proxy,protoclass
randomGLM,randomGLM
Rborist,Rborist
LiblineaR,regLogistic
LiblineaR,svmLinear3
LiblineaR,svmLinearWeights2
quantregForest,rf
rFerns,rFerns
randomForest,rfRules
randomForest,RRF
robustDA,rmda
rocc,rocc
rotationForest,rotationForest
rpart,rotationForestCp
rpart,rpart
rpart,rpart1SE
rpart,rpart2
rpart,rpartCost
rpartScore,rpartScore
RRF,RRFglobal
rrcovHD,RSimca
sda,sda
sdwd,sdwd
ipred,slda
ipred,treebag
sparseLDA,smda
sparseLDA,sparseLDA
spls,spls
VGAM,vglmAdjCat
VGAM,vglmContRatio
VGAM,vglmCumulative
wsrf,wsrf
xgboost,xgbDART
xgboost,xgbLinear
xgboost,xgbTree
kohonen,xyf
